model,max_features,min_samples_leaf,max_depth,class_weight,n_estimators,seconds,val_es_auc,val_es_lift,val_sel_auc,val_sel_lift,test_auc,test_lift,test2_auc,test2_lift
rf,20,500,15,,150,377.5,0.6023,1.214,0.618,1.355,0.6439,1.49,0.6253,1.287
rf,15,400,30,,150,364.5,0.6035,1.221,0.6198,1.362,0.6448,1.489,0.626,1.291
rf,10,200,30,,150,275.1,0.6043,1.228,0.6196,1.368,0.6451,1.489,0.6279,1.293
rf,15,200,45,,150,407.5,0.6048,1.226,0.6189,1.364,0.6446,1.491,0.629,1.296
rf,10,200,15,,150,246.9,0.6031,1.222,0.62,1.365,0.6469,1.493,0.6261,1.286
rf,10,500,30,,150,258.9,0.6037,1.226,0.6202,1.364,0.646,1.49,0.6267,1.291
rf,20,400,30,,150,517.0,0.6047,1.223,0.6177,1.355,0.6422,1.486,0.6252,1.283
rf,20,500,30,,150,501.3,0.6035,1.22,0.6181,1.359,0.6425,1.486,0.6261,1.288
rf,15,200,30,,150,423.4,0.6049,1.225,0.619,1.365,0.6445,1.49,0.6288,1.296
rf,20,200,45,,150,564.9,0.6043,1.222,0.6176,1.358,0.6423,1.486,0.6287,1.292
rf,10,400,15,,150,255.2,0.6013,1.219,0.6182,1.356,0.6468,1.493,0.6252,1.283
rf,15,400,15,,150,374.0,0.6026,1.218,0.6198,1.36,0.6458,1.492,0.6251,1.282
rf,15,500,15,,150,369.6,0.6026,1.22,0.6194,1.36,0.6452,1.491,0.6265,1.29
rf,10,500,15,,150,252.0,0.6018,1.219,0.6197,1.361,0.646,1.491,0.6252,1.289
rf,20,200,30,,150,553.8,0.6046,1.225,0.6175,1.358,0.6427,1.487,0.6281,1.289
rf,15,400,45,,150,416.9,0.6034,1.219,0.6198,1.361,0.6446,1.488,0.6261,1.29
rf,15,200,15,,150,399.8,0.604,1.224,0.6196,1.363,0.6451,1.491,0.6267,1.287
rf,20,400,45,,150,530.5,0.6048,1.223,0.6176,1.355,0.6421,1.485,0.6251,1.281
rf,15,500,45,,150,410.9,0.6031,1.219,0.6196,1.362,0.6453,1.49,0.6249,1.285
rf,10,200,45,,150,318.9,0.6043,1.228,0.6197,1.367,0.6456,1.491,0.6286,1.296
rf,20,500,45,,150,585.7,0.6035,1.22,0.6181,1.359,0.6424,1.486,0.6261,1.288
rf,10,500,45,,150,305.9,0.6038,1.226,0.6203,1.364,0.646,1.49,0.6269,1.292
rf,20,400,15,,150,554.8,0.6024,1.214,0.6178,1.351,0.6435,1.489,0.6239,1.276
rf,10,400,30,,150,321.4,0.6036,1.227,0.6199,1.364,0.6465,1.492,0.6264,1.289
rf,15,500,30,,150,461.5,0.603,1.219,0.6194,1.361,0.6452,1.49,0.6249,1.284
rf,10,400,45,,150,325.0,0.6035,1.226,0.6196,1.362,0.6463,1.492,0.6266,1.29
rf,20,200,15,,150,588.6,0.6036,1.221,0.6204,1.363,0.644,1.489,0.6247,1.281
